board,angle,climb_name,date,logged_grade,displayed_grade,is_benchmark,tries,is_mirror,sessions_count,tries_total,is_repeat,is_ascent,comment
kilter,30,Elephant Trunk,2023-01-25 23:56:55,5a/V1,5a/V1,False,1,False,3,3,True,True,
kilter,40,Big moves for a little dude,2023-01-29 02:08:44,6b/V4,6b/V4,False,1,False,4,4,True,True,
kilter,40,Rainbow Swing,2023-01-29 02:13:36,6a+/V3,6a+/V3,False,1,False,3,3,True,True,
kilter,40,Trans-Dimensional Council of Ricks,2023-01-29 02:35:23,6c/V5,6c/V5,False,1,False,3,3,True,True,
kilter,40,it’s a beautiful morning,2023-02-05 01:56:44,6b/V4,6b/V4,False,1,False,2,2,True,True,
kilter,40,HilDawgyDawg,2023-02-05 02:00:21,6a+/V3,6a+/V3,False,1,False,2,2,True,True,
kilter,40,Drawing the Priest,2023-02-05 02:55:58,7a/V6,7a/V6,False,1,False,1,1,False,True,
kilter,40,"Simple, but crimpy",2023-02-05 03:00:45,6c/V5,6c/V5,False,1,False,1,1,False,True,
kilter,40,Monkey Bread,2023-02-06 23:30:42,6a/V3,6a/V3,False,1,False,1,1,False,True,
kilter,40,B45-8-3-1,2023-02-06 23:55:14,4c/V0,4c/V0,False,1,False,1,1,False,True,
kilter,40,Eug’s Jugs,2023-02-08 23:19:17,5c/V2,5c/V2,False,1,False,1,1,False,True,
kilter,40,Chanel,2023-02-08 23:21:43,5b/V1,5b/V1,False,1,False,1,1,False,True,
kilter,40,Bad Girls Club Top,2023-02-08 23:37:44,7a/V6,7a/V6,False,1,False,2,2,True,True,
kilter,40,SNZN Ramen,2023-02-08 23:48:40,7b/V8,7b/V8,False,1,False,2,2,True,True,
kilter,40,Press Du Sau!,2023-02-08 23:50:27,7b/V8,7b/V8,False,1,False,1,1,False,True,
kilter,40,Biscuit Boy,2023-02-12 01:26:27,6a/V3,6a/V3,False,1,False,2,2,True,True,
kilter,40,Too Much On My Mind,2023-02-12 01:29:09,6b/V4,6b/V4,False,1,False,1,1,False,True,
kilter,40,Kiel training 1:4,2023-02-12 02:35:54,7a+/V7,7a+/V7,False,1,False,1,1,False,True,
kilter,40,Trunk of the Beast,2023-02-26 02:11:41,7b/V8,7b/V8,False,1,False,4,6,True,True,
kilter,40,Too Small for Kevin,2023-02-26 02:26:23,7a+/V7,7a+/V7,False,1,False,1,1,False,True,
kilter,40,Pinch-E,2023-02-26 02:31:30,7a/V6,7a/V6,False,1,False,1,1,False,True,
kilter,40,Game of Thrones Season 8,2023-02-26 02:38:36,6b/V4,6b/V4,False,1,False,1,1,False,True,
kilter,40,Intruder Alert,2023-02-26 02:45:54,7a/V6,7a/V6,False,1,False,1,1,False,True,
